root,node,count
E 7 St & Avenue A,Cooper Square & Astor Pl,8426
Central Park S & 6 Ave,Central Park S & 6 Ave,6778
Central Park S & 6 Ave,5 Ave & E 88 St,6092
North Moore St & Greenwich St,Vesey Pl & River Terrace,5366
West Drive & Prospect Park West,West Drive & Prospect Park West,5364
Vesey Pl & River Terrace,North Moore St & Greenwich St,5274
12 Ave & W 40 St,West St & Chambers St,5056
Pershing Square North,E 24 St & Park Ave S,5051
McGuinness Blvd & Eagle St,Vernon Blvd & 50 Ave,4999
Soissons Landing,Soissons Landing,4971
E 13 St & Avenue A,Broadway & E 14 St,4918
Pershing Square North,W 33 St & 7 Ave,4897
Vernon Blvd & 50 Ave,McGuinness Blvd & Eagle St,4752
E 6 St & Avenue B,Cooper Square & Astor Pl,4724
N 6 St & Bedford Ave,S 4 St & Wythe Ave,4665
W 22 St & 10 Ave,W 22 St & 8 Ave,4648
Pier 40 - Hudson River Park,West St & Chambers St,4605
Cooper Square & Astor Pl,E 6 St & Avenue B,4503
Broadway & W 60 St,11 Ave & W 59 St,4488
West Thames St,South End Ave & Liberty St,4398
Richardson St & N Henry St,Graham Ave & Conselyea St,4373
W 26 St & 8 Ave,11 Ave & W 27 St,4306
West St & Chambers St,Pier 40 - Hudson River Park,4271
E 32 St & Park Ave,E 33 St & 1 Ave,4196
Soissons Landing,Picnic Point,4185
W 21 St & 6 Ave,9 Ave & W 22 St,4182
11 Ave & W 27 St,W 26 St & 8 Ave,4174
Picnic Point,Soissons Landing,4164
Yankee Ferry Terminal,Yankee Ferry Terminal,4139
Grand Army Plaza & Central Park S,5 Ave & E 88 St,4137
Grand Army Plaza & Central Park S,Grand Army Plaza & Central Park S,4076
Yankee Ferry Terminal,Soissons Landing,4057
E 24 St & Park Ave S,Pershing Square North,4012
Soissons Landing,Yankee Ferry Terminal,3971
W 21 St & 6 Ave,W 22 St & 10 Ave,3941
W 26 St & 10 Ave,W 26 St & 8 Ave,3875
E 102 St & 1 Ave,2 Ave & E 96 St,3841
11 Ave & W 41 St,8 Ave & W 33 St,3834
12 Ave & W 40 St,Pier 40 - Hudson River Park,3827
W 20 St & 11 Ave,West St & Chambers St,3814
S 4 St & Wythe Ave,N 6 St & Bedford Ave,3804
North Moore St & Greenwich St,Murray St & Greenwich St,3734
Willoughby St & Fleet St,Adelphi St & Myrtle Ave,3716
Central Park West & W 72 St,Central Park West & W 72 St,3709
South End Ave & Liberty St,West Thames St,3707
7 Ave & Central Park South,7 Ave & Central Park South,3699
West St & Chambers St,12 Ave & W 40 St,3675
Christopher St & Greenwich St,West St & Chambers St,3664
Broadway & W 60 St,Broadway & W 60 St,3651
11 Ave & W 27 St,8 Ave & W 31 St,3633
S 3 St & Bedford Ave,N 6 St & Bedford Ave,3596
Lispenard St & Broadway,North Moore St & Greenwich St,3588
E 30 St & Park Ave S,Pershing Square North,3573
Broadway & E 14 St,E 13 St & Avenue A,3567
Centre St & Chambers St,Centre St & Chambers St,3558
Cooper Square & Astor Pl,E 7 St & Avenue A,3553
South End Ave & Liberty St,Little West St & 1 Pl,3514
Little West St & 1 Pl,South End Ave & Liberty St,3507
1 Ave & E 78 St,E 77 St & 3 Ave,3471
N 6 St & Bedford Ave,Wythe Ave & Metropolitan Ave,3464
